Date,Open*,High,Low,Close**,Volume,Market Cap
7-Apr-20,"7,273.64","7,427.94","7,136.71",7176.41,44243482668.00,"131,409,299,432"
6-Apr-20,"6,788.05","7,271.78","6,782.89",7271.78,46896904615.00,"133,140,400,948"
5-Apr-20,"6,862.54","6,883.41","6,715.93",6791.13,29510409856.00,"124,328,853,512"
4-Apr-20,"6,738.38","6,878.95","6,696.48",6867.53,33185988584.00,"125,712,834,530"
3-Apr-20,"6,797.40","7,003.22","6,673.34",6733.39,38976504903.00,"123,244,051,100"
2-Apr-20,"6,606.78","7,088.25","6,595.92",6793.62,47660646124.00,"124,335,130,640"
1-Apr-20,"6,437.32","6,612.57","6,202.37",6606.78,40346426266.00,"120,903,014,693"
31-Mar-20,"6,430.61","6,504.52","6,374.16",6438.64,32786468812.00,"117,814,077,267"
30-Mar-20,"5,925.54","6,517.20","5,903.23",6429.84,37101651525.00,"117,640,143,688"
29-Mar-20,"6,245.62","6,250.47","5,920.09",5922.04,28373690931.00,"108,338,520,156"
28-Mar-20,"6,467.25","6,467.50","6,117.84",6242.19,34885225901.00,"114,183,689,641"
27-Mar-20,"6,719.39","6,793.84","6,466.70",6469.80,34585598367.00,"118,336,082,172"
26-Mar-20,"6,675.17","6,735.46","6,590.96",6716.44,35319797642.00,"122,834,375,216"
25-Mar-20,"6,738.72","6,892.51","6,536.93",6681.06,44590107888.00,"122,174,009,143"
24-Mar-20,"6,436.64","6,789.02","6,411.07",6734.80,48221910672.00,"123,148,917,787"
23-Mar-20,"5,831.37","6,443.93","5,785.00",6416.31,46491916000.00,"117,314,776,187"
22-Mar-20,"6,185.56","6,359.70","5,823.71",5830.25,40099664740.00,"106,591,196,069"
21-Mar-20,"6,206.52","6,378.14","5,932.82",6185.07,42494390880.00,"113,068,192,795"
20-Mar-20,"6,191.65","6,844.26","5,865.78",6198.78,54442976103.00,"113,309,245,860"
19-Mar-20,"5,245.42","6,329.74","5,236.97",6191.19,51000731797.00,"113,162,079,956"
18-Mar-20,"5,227.11","5,331.83","5,069.34",5238.44,37878801016.00,"95,740,715,529"
17-Mar-20,"5,002.58","5,371.35","4,981.91",5225.63,38622642935.00,"95,499,941,183"
16-Mar-20,"5,385.23","5,385.23","4,575.36",5014.48,45368026430.00,"91,633,478,850"
15-Mar-20,"5,201.07","5,836.65","5,169.28",5392.31,33997889639.00,"98,530,059,890"
14-Mar-20,"5,573.08","5,625.23","5,125.07",5200.37,36154506008.00,"95,014,981,944"
13-Mar-20,"5,017.83","5,838.11","4,106.98",5563.71,74156772075.00,"101,644,613,038"
12-Mar-20,"7,913.62","7,929.12","4,860.35",4970.79,53980357243.00,"90,804,613,601"
11-Mar-20,"7,910.09","7,950.81","7,642.81",7911.43,38682762605.00,"144,508,402,671"
10-Mar-20,"7,922.15","8,136.95","7,814.76",7909.73,42213940994.00,"144,465,567,734"
9-Mar-20,"8,111.15","8,177.79","7,690.10",7923.64,46936995808.00,"144,706,353,758"
8-Mar-20,"8,908.21","8,914.34","8,105.25",8108.12,39973102121.00,"148,060,284,561"
7-Mar-20,"9,121.60","9,163.22","8,890.74",8909.95,36216930370.00,"162,684,945,903"
6-Mar-20,"9,078.31","9,167.70","9,032.08",9122.55,40826885651.00,"166,548,261,960"
5-Mar-20,"8,760.29","9,142.05","8,757.25",9078.76,39698054597.00,"165,731,679,918"
4-Mar-20,"8,788.54","8,843.37","8,712.43",8755.25,34746706368.00,"159,807,857,328"
3-Mar-20,"8,865.39","8,901.60","8,704.99",8787.79,42386715821.00,"160,383,579,416"
2-Mar-20,"8,563.26","8,921.31","8,532.63",8869.67,42857674409.00,"161,861,167,745"
1-Mar-20,"8,599.76","8,726.80","8,471.21",8562.45,35349164300.00,"156,238,987,740"
29-Feb-20,"8,671.21","8,775.63","8,599.51",8599.51,35792392544.00,"156,895,988,084"
28-Feb-20,"8,788.73","8,890.46","8,492.93",8672.46,44605450443.00,"158,211,707,019"
27-Feb-20,"8,825.09","8,932.89","8,577.20",8784.49,45470195695.00,"160,238,496,932"
26-Feb-20,"9,338.29","9,354.78","8,704.43",8820.52,50420050762.00,"160,879,489,024"
25-Feb-20,"9,651.31","9,652.74","9,305.02",9341.71,42515259129.00,"170,369,581,558"
24-Feb-20,"9,921.58","9,951.75","9,537.04",9650.17,45080496648.00,"175,977,808,526"
23-Feb-20,"9,663.32","9,937.40","9,657.79",9924.52,41185185761.00,"180,963,233,540"
