Date,BIZD,BLOK,DBO,GLD,IWM,SHY,SPY,STIP,USRT,UUP,VGLT,VWO
2005-04-29,,,,43.349998474121094,46.81422805786133,62.381954193115234,85.14498138427734,,,,,15.71782112121582
2005-05-02,,,,42.880001068115234,47.29360580444336,62.38965606689453,85.62309265136719,,,,,15.789420127868652
2005-05-03,,,,42.7599983215332,47.529212951660156,62.428184509277344,85.77017974853516,,,,,15.680314064025879
2005-05-04,,,,42.900001525878906,48.05731964111328,62.45136642456055,86.4322509765625,,,,,16.22583770751953
2005-05-05,,,,42.90999984741211,48.04918670654297,62.512969970703125,86.40281677246094,,,,,16.236061096191406
2005-05-06,,,,42.52000045776367,48.21980285644531,62.3742561340332,86.13066864013672,,,,,16.31448745727539
2005-05-09,,,,42.54999923706055,48.682918548583984,62.3433952331543,86.66763305664062,,,,,16.36903190612793
2005-05-10,,,,42.63999938964844,48.10200119018555,62.38965606689453,85.77017974853516,,,,,16.031494140625
2005-05-11,,,,42.689998626708984,48.126373291015625,62.428184509277344,86.24099731445312,,,,,16.12354850769043
2005-05-12,,,,42.15999984741211,47.36672592163086,62.459068298339844,85.29206848144531,,,,,15.837151527404785
2005-05-13,,,,41.95000076293945,47.19609832763672,62.528446197509766,85.12289428710938,,,,,15.799649238586426
2005-05-16,,,,41.880001068115234,47.92326354980469,62.512969970703125,85.91732025146484,,,,,15.905344009399414
2005-05-17,,,,41.86000061035156,48.20761489868164,62.512969970703125,86.4911117553711,,,,,15.925799369812012
2005-05-18,,,,42.04999923706055,49.17445373535156,62.57470703125,87.38114929199219,,,,,16.31448745727539
2005-05-19,,,,41.97999954223633,49.29632568359375,62.48217010498047,87.74895477294922,,,,,16.24629020690918
2005-05-20,,,,41.650001525878906,49.235374450683594,62.48217010498047,87.6239013671875,,,,,16.092866897583008
2005-05-23,,,,41.619998931884766,49.56037521362305,62.520755767822266,88.10942077636719,,,,,16.10991668701172
2005-05-24,,,,41.72999954223633,49.35725402832031,62.55930709838867,87.9034194946289,,,,,16.106508255004883
2005-05-25,,,,41.869998931884766,48.98758316040039,62.5824089050293,87.8372573852539,,,,,16.045133590698242
2005-05-26,,,,41.689998626708984,49.670040130615234,62.55930709838867,88.30799865722656,,,,,16.10991668701172
2005-05-27,,,,41.880001068115234,49.946292877197266,62.5824089050293,88.45510864257812,,,,,16.317895889282227
2005-05-31,,,,41.650001525878906,49.840667724609375,62.62867736816406,87.88872528076172,,,,,16.1746826171875
2005-06-01,,,,41.529998779296875,50.40533447265625,62.75233459472656,88.63902282714844,,,,,16.26333999633789
2005-06-02,,,,42.099998474121094,50.543453216552734,62.729183197021484,88.83026123046875,,,,,16.406538009643555
2005-06-03,,,,42.16999816894531,50.17377853393555,62.651824951171875,88.381591796875,,,,,16.365625381469727
2005-06-06,,,,42.47999954223633,50.36064529418945,62.68278884887695,88.30065155029297,,,,,16.508821487426758
2005-06-07,,,,42.380001068115234,50.46220779418945,62.698280334472656,88.36685180664062,,,,,16.423585891723633
2005-06-08,,,,42.34000015258789,50.14128875732422,62.68278884887695,88.20500946044922,,,,,16.35198402404785
2005-06-09,,,,42.27000045776367,50.63283157348633,62.644134521484375,88.6242904663086,,,,,16.46790885925293
2005-06-10,,,,42.619998931884766,50.73845291137695,62.59007263183594,88.41834259033203,,,,,16.478137969970703
2005-06-13,,,,42.779998779296875,50.9659309387207,62.59007263183594,88.69786834716797,,,,,16.46790885925293
2005-06-14,,,,42.599998474121094,51.404666900634766,62.60546112060547,88.90384674072266,,,,,16.529281616210938
2005-06-15,,,,42.7400016784668,51.542781829833984,62.59007263183594,89.07303619384766,,,,,16.764535903930664
2005-06-16,,,,43.459999084472656,52.046504974365234,62.644134521484375,89.30105590820312,,,,,17.0168399810791
2005-06-17,,,,43.630001068115234,52.01402282714844,62.636409759521484,89.63192749023438,,,,,17.071392059326172
2005-06-20,,,,43.65999984741211,51.856056213378906,62.620941162109375,89.66146087646484,,,,,17.013423919677734
